iter	Passed	Remaining
0	147	147148
1	147	73851
2	148	49393
3	149	37156
4	149	29820
5	150	24919
6	151	21423
7	151	18827
8	152	16786
9	153	15147
10	153	13811
11	154	12694
12	154	11748
13	155	10938
14	155	10241
15	156	9626
16	157	9084
17	157	8603
18	158	8171
19	158	7782
20	159	7432
21	160	7114
22	160	6822
23	161	6554
24	161	6308
25	162	6080
26	162	5868
27	163	5672
28	163	5489
29	164	5319
30	165	5160
31	165	5010
32	166	4871
33	166	4739
34	167	4613
35	167	4495
36	168	4383
37	168	4277
38	169	4176
39	170	4080
40	170	3990
41	171	3904
42	171	3822
43	172	3743
44	172	3668
45	173	3597
46	174	3528
47	174	3462
48	175	3398
49	175	3337
50	176	3278
51	176	3222
52	177	3167
53	177	3115
54	178	3065
55	178	3016
56	179	2969
57	180	2924
58	180	2880
59	181	2837
60	181	2796
61	182	2756
62	182	2718
63	183	2680
64	183	2645
65	184	2611
66	185	2577
67	185	2541
68	186	2510
69	186	2480
70	187	2450
71	187	2420
72	188	2391
73	188	2364
74	189	2337
75	190	2311
76	190	2286
77	191	2261
78	191	2236
79	192	2213
80	193	2190
81	193	2166
82	194	2144
83	194	2122
84	195	2099
85	195	2078
86	195	2056
87	196	2036
88	197	2017
89	197	1997
90	198	1979
91	198	1960
92	199	1943
93	199	1925
94	200	1908
95	200	1891
96	201	1874
97	201	1858
98	202	1843
99	203	1835
100	204	1823
101	205	1807
102	206	1794
103	206	1781
104	207	1767
105	208	1754
106	208	1741
107	209	1728
108	209	1716
109	210	1703
110	211	1691
111	211	1679
112	212	1667
113	213	1655
114	213	1644
115	214	1631
116	214	1620
117	215	1610
118	215	1598
119	216	1588
120	217	1577
121	217	1567
122	218	1555
123	218	1545
124	219	1536
125	220	1527
126	220	1518
127	221	1508
128	221	1498
129	222	1489
130	223	1479
131	223	1470
132	224	1461
133	224	1452
134	225	1443
135	225	1434
136	226	1426
137	226	1417
138	227	1409
139	228	1401
140	228	1393
141	229	1384
142	229	1376
143	230	1368
144	230	1361
145	231	1353
146	231	1345
147	232	1338
148	233	1330
149	233	1324
150	234	1318
151	235	1311
152	235	1305
153	236	1299
154	237	1293
155	237	1286
156	238	1280
157	239	1273
158	239	1267
159	240	1261
160	241	1255
161	241	1250
162	242	1244
163	242	1238
164	243	1232
165	244	1227
166	244	1221
167	245	1216
168	246	1211
169	247	1206
170	248	1203
171	249	1200
172	250	1197
173	251	1193
174	252	1190
175	253	1187
176	254	1185
177	256	1182
178	257	1179
179	258	1178
180	259	1172
181	259	1167
182	260	1162
183	260	1157
184	261	1152
185	262	1147
186	262	1142
187	263	1137
188	264	1134
189	265	1130
190	265	1125
191	266	1120
192	266	1115
193	267	1111
194	268	1106
195	268	1101
196	269	1097
197	269	1093
198	270	1089
199	271	1084
200	271	1080
201	272	1076
202	273	1072
203	273	1067
204	274	1063
205	274	1059
206	275	1055
207	276	1052
208	276	1048
209	278	1045
210	278	1042
211	280	1040
212	280	1037
213	281	1033
214	282	1030
215	282	1027
216	283	1023
217	284	1019
218	284	1016
219	285	1012
220	286	1008
221	286	1004
222	287	1000
223	287	996
224	288	993
225	289	990
226	289	986
227	290	983
228	291	979
229	291	976
230	292	972
231	292	969
232	293	966
233	294	964
234	295	962
235	296	958
236	297	956
237	297	953
238	298	950
239	299	946
240	299	943
241	300	940
242	300	937
243	301	934
244	302	931
245	302	928
246	303	925
247	304	922
248	304	919
249	305	915
250	305	912
251	306	909
252	307	906
253	307	904
254	308	901
255	309	900
256	310	897
257	311	895
258	312	892
259	312	890
260	313	888
261	314	886
262	315	883
263	316	881
264	316	878
265	317	875
266	318	873
267	318	870
268	319	868
269	320	865
270	321	863
271	321	861
272	322	858
273	323	856
274	323	853
275	324	851
276	325	849
277	326	847
278	327	845
279	327	843
280	328	840
281	329	838
282	329	835
283	330	833
284	331	830
285	331	828
286	332	826
287	333	823
288	333	821
289	334	819
290	335	816
291	336	815
292	337	815
293	340	818
294	341	816
295	342	814
296	343	813
297	344	812
298	345	809
299	345	807
300	346	804
301	347	802
302	347	799
303	348	797
304	348	794
305	349	792
306	349	789
307	350	787
308	350	784
309	351	782
310	352	780
311	353	779
312	353	776
313	354	774
314	355	773
315	356	772
316	357	770
317	358	768
318	358	766
319	359	764
320	360	761
321	360	759
322	361	757
323	361	755
324	362	753
325	363	750
326	363	748
327	364	746
328	365	744
329	365	742
330	366	740
331	367	738
332	368	737
333	368	735
334	371	736
335	372	735
336	372	733
337	373	731
338	374	729
339	374	727
340	375	725
341	376	723
342	376	721
343	377	719
344	377	717
345	378	715
346	378	713
347	379	710
348	379	708
349	380	707
350	381	705
351	382	703
352	383	702
353	384	701
354	385	700
355	386	698
356	386	696
357	387	694
358	387	692
359	388	690
360	388	688
361	389	686
362	390	684
363	390	682
364	391	680
365	391	678
366	392	676
367	392	674
368	393	672
369	393	670
370	394	668
371	394	666
372	395	664
373	395	662
374	396	661
375	397	659
376	398	658
377	399	658
378	400	656
379	401	654
380	401	652
381	402	651
382	402	649
383	403	647
384	404	645
385	404	643
386	405	642
387	406	640
388	406	639
389	407	637
390	408	635
391	408	634
392	409	632
393	409	630
394	410	628
395	411	627
396	412	626
397	413	625
398	414	624
399	415	623
400	415	621
401	416	619
402	417	617
403	417	616
404	418	614
405	418	612
406	419	610
407	419	609
408	420	607
409	420	605
410	421	603
411	421	602
412	422	600
413	423	599
414	423	597
415	424	595
416	425	594
417	426	593
418	426	592
419	427	590
420	428	589
421	429	588
422	430	586
